1	 California	38,041,430	53	55	717,763	691,662
2	 Texas	26,059,203	36	38	723,867	685,769
3	 New_York	19,570,261	27	29	724,824	674,837
4	 Florida	19,317,568	27	29	715,465	666,123
5	 Illinois	12,875,255	18	20	715,292	643,763
6	 Pennsylvania	12,763,536	18	20	709,085	638,177
7	 Ohio	11,544,225	16	18	721,514	641,346
8	 Georgia	9,919,945	14	16	708,568	619,997
9	 Michigan	9,883,360	14	16	705,954	617,710
10	 North_Carolina	9,752,073	13	15	750,159	650,138
11	 New_Jersey	8,864,590	12	14	738,716	633,185
12	 Virginia	8,185,867	11	13	744,170	629,682
13	 Washington	6,897,012	10	12	689,701	574,751
14	 Massachusetts	6,646,144	9	11	738,460	604,195
15	 Arizona	6,553,255	9	11	728,139	595,750
16	 Indiana	6,537,334	9	11	726,370	594,303
17	 Tennessee	6,456,243	9	11	717,360	586,931
18	 Missouri	6,021,988	8	10	752,749	602,199
19	 Maryland	5,884,563	8	10	735,570	588,456
20	 Wisconsin	5,726,398	8	10	715,800	572,640
21	 Minnesota	5,379,139	8	10	672,392	537,914
22	 Colorado	5,187,582	7	9	741,083	576,398
23	 Alabama	4,822,023	7	9	688,860	535,780
24	 South_Carolina	4,723,723	7	9	674,818	524,858
25	 Louisiana	4,601,893	6	8	766,982	575,237
26	 Kentucky	4,380,415	6	8	730,069	547,552
27	 Oregon	3,899,353	5	7	779,871	557,050
28	 Oklahoma	3,814,820	5	7	762,964	544,974
29	 Connecticut	3,590,347	5	7	718,059	512,907
30	 Iowa	3,074,186	4	6	768,547	513,364
31	 Mississippi	2,984,926	4	6	746,232	497,488
32	 Arkansas	2,949,131	4	6	737,283	491,522
33	 Kansas	2,885,905	4	6	721,476	480,984
34	 Utah	2,855,287	4	6	713,822	475,881
35	 Nevada	2,758,931	4	6	689,733	459,822
36	 New_Mexico	2,085,538	3	5	695,179	417,108
37	 Nebraska	1,855,525	3	5	618,508	371,105
38	 West_Virginia	1,855,413	3	5	618,471	371,083
39	 Idaho	1,595,728	2	4	797,864	398,932
40	 Hawaii	1,392,313	2	4	696,157	348,078
41	 Maine	1,329,192	2	4	664,596	332,298
42	 New_Hampshire	1,320,718	2	4	660,359	330,180
43	 Rhode_Island	1,050,292	2	4	525,146	262,273
44	 Montana	1,005,141	1	3	1,005,141	335,047
45	 Delaware	917,092	1	3	917,092	305,697
46	 South_Dakota	833,354	1	3	833,354	277,785
47	 Alaska	731,449	1	3	731,449	243,816
48	 North_Dakota	699,628	1	3	699,628	233,209
49	 Vermont	626,011	1	3	626,011	208,670
50	 Wyoming	576,412
