1930	0
1931	0
1932	0
1933	0
1934	0
1935	0
1936	0
1937	0
1938	0
1939	0
1940	0
1941	0
1942	0
1943	0
1944	0
1945	0
1946	0
1947	0
1948	0
1949	0
1950	0
1951	0
1952	0
1953	0
1954	0
1955	0
1956	0
1957	0
1958	0
1959	0
1960	0
1961	0
1962	0
1963	0
1964	0
1965	0
1966	0
1967	0
1968	0
1969	0
1970	0
1971	0
1972	0
1973	0
1974	0
1975	0
1976	0
1977	1
1978	0
1979	0
1980	0
1981	0
1982	0
1983	0
1984	0
1985	0
1986	0
1987	0
1988	2
1989	0
1990	3
1991	5
1992	5
1993	14
1994	18
1995	43
1996	45
1997	79
1998	97
1999	142
2000	146
2001	179
2002	193
2003	181
2004	218
2005	255
2006	271
2007	273
2008	281
2009	307
2010	370
2011	397
2012	365
2013	363
2014	329
