1930	0
1931	0
1932	0
1933	0
1934	0
1935	0
1936	0
1937	0
1938	0
1939	0
1940	0
1941	0
1942	0
1943	0
1944	0
1945	0
1946	0
1947	0
1948	0
1949	0
1950	0
1951	0
1952	0
1953	0
1954	0
1955	0
1956	2
1957	0
1958	0
1959	0
1960	0
1961	0
1962	0
1963	0
1964	1
1965	0
1966	0
1967	1
1968	0
1969	1
1970	1
1971	0
1972	0
1973	1
1974	2
1975	0
1976	0
1977	0
1978	1
1979	0
1980	0
1981	0
1982	0
1983	0
1984	0
1985	1
1986	3
1987	1
1988	3
1989	1
1990	1
1991	1
1992	1
1993	2
1994	3
1995	4
1996	3
1997	0
1998	3
1999	1
2000	2
2001	1
2002	1
2003	5
2004	4
2005	6
2006	5
2007	9
2008	5
2009	15
2010	9
2011	7
2012	14
2013	14
2014	17
